loss,id
1486.992056458473,4
1851.5351479810743,6
7929.2815826516635,9
5452.189110589323,12
871.7281930534054,15
1986.4050556574748,17
1704.5133095966848,21
995.2955444521733,28
2420.8250010635493,32
3088.9414801516546,43
2756.5299651339024,46
843.9385585270211,50
1357.4432075482391,54
1912.2315395805085,62
2379.0073923296854,70
4804.576626916235,71
2125.0423636714922,75
2291.020440005934,77
2184.6813877340605,81
2090.181769968855,83
1871.0947817406222,87
2611.796886643183,97
1281.1646205808895,103
1025.4316344717556,119
1473.9654669965007,120
984.0729125469475,127
3903.9061112836744,138
3121.9368211598285,141
1036.4592901669287,148
2742.7120204398298,150
2154.354002806955,151
1627.9794996052995,158
4005.845558596089,160
2087.1940259948647,165
3096.3571719755937,168
4877.8528093730465,169
2794.80078233064,177
3904.505961143368,178
2268.7430290066354,184
8926.835150058025,194
1633.3370170271355,198
3917.320178266722,203
2374.5674438877877,211
1161.480993236611,217
1435.4926097650514,219
1859.4736259919168,221
1467.6329395234454,227
1507.6822537745682,230
2174.252873054648,235
854.1910937801133,240
2660.9982284066296,243
8368.3735242723,249
2788.8139091753424,253
1468.8999780066795,258
1533.6213232519794,261
4659.567410423112,263
3079.261270735332,264
4684.154609613396,265
1902.5392364647205,268
1368.2733088081395,271
5484.317078449045,274
892.578562836637,275
1946.6138077868982,279
1583.7530474484738,282
3130.330121482163,286
997.3375272677315,288
2726.3412021367467,294
1402.401194007275,296
1621.0664333048778,297
945.0467958967813,300
8526.97584278348,303
1156.354901918259,314
4546.415560322957,315
2357.5233137429227,321
4454.356499456479,323
3769.1962483870975,330
1819.157587557711,341
3253.0361627908997,342
1911.605764780325,352
3516.089826562647,353
5347.207444160553,360
2499.485916789508,361
3628.8993213333924,362
1264.8949998934386,366
3827.4300848240346,372
2740.155422942375,376
2374.397415219558,377
1780.940859397095,379
4402.323906182999,380
1795.826950337168,387
2244.9478916010025,392
8750.887226067955,394
1549.77470299543,395
1873.9443643378104,397
5399.69133766875,407
6456.568622903347,411
2668.92842142173,416
1854.1297182469843,417
2933.6235719167066,419
6128.641625996267,428
1979.939699933394,431
5825.497886272222,436
1200.6509347537717,438
6915.415220490666,445
8262.614195895025,446
1485.0831470699866,455
1327.1162338981342,456
1342.9258306048189,461
1975.3017646966414,463
4737.645187955425,464
1666.1830484178242,466
2670.7423742874807,467
1000.2039816429619,470
1439.390935347522,475
2873.438990323414,482
3489.492138816186,490
1876.1550459606528,496
3903.391799178912,497
2659.7306911078304,508
1718.1175580859092,510
1968.4714732091434,512
3884.498971070584,513
1686.4216030598732,523
5558.261623813194,531
1548.8199624025947,532
1392.4828886654661,533
1053.0839914508151,537
4307.629735607137,544
3066.5785986306714,547
7559.683574811991,556
1109.3715122797223,565
1150.6619203843989,566
1358.3485908747618,571
1841.8640896029442,573
1025.7864127023372,574
2231.833885612798,581
2073.3361121392322,585
1733.5821677600536,589
1925.9541204107472,597
3416.329165249905,601
1306.8883796763723,602
2030.4610903059952,613
1322.106760808813,616
1242.419012279132,619
1990.9359691176146,622
2525.899958661846,623
1778.3051573794578,629
1617.7600483315161,634
664.441441203663,638
1054.405176479981,642
2031.0968984317215,643
713.9468048858904,645
6433.406682863606,648
1443.5682797229208,652
1127.3071392547515,664
2242.4286342636287,666
1042.745373166725,672
1670.1606911267602,676
4745.25642061087,678
1839.093296427117,682
2615.1547226274324,686
3162.236204027144,688
1506.618481084878,689
1593.6514325691355,690
7818.257427253489,692
1439.9092773463,695
3911.009822333339,697
1958.1571614055251,698
2295.2581213525787,706
1232.069447989608,708
2968.2470982871623,712
4515.520317385959,715
1256.2530955584778,717
2588.2071908189855,725
1029.0130279162724,729
1475.5470006270386,737
3921.192612667255,739
4015.2397020369153,747
2190.914805106081,753
2806.8062532001845,758
1809.909194214932,759
1578.8658542824153,763
3790.1042141535827,773
2133.8169381245534,774
1508.527045802361,776
3602.2251838323737,788
1779.456279987625,790
887.7647765300819,794
1737.8588466546396,801
1610.2930914495919,802
1496.7966448561035,805
4179.170048837244,809
1470.8326326934646,812
2597.118038875973,825
1581.4156474182475,828
1551.7612872906575,830
1481.4318362855581,833
5309.591649287475,850
5905.7883943326715,852
1743.0646218991512,862
1506.1359691400671,863
1533.1778173316945,864
3615.845329192245,865
5413.069801221925,868
1641.422831267151,872
6682.262693414448,879
1449.7233318835106,880
1426.0530203185017,883
1572.6522262402593,886
1888.5681452884733,923
1570.1995475410463,924
1183.508432825265,932
5832.565555101418,945
7219.865094416328,947
2197.348674743336,948
3095.6905429910416,955
4239.983354093892,963
1947.8962485164866,979
1477.9271619677525,989
3676.8156974900417,994
1631.5536644803115,995
1928.3499478319204,998
4048.157594290524,1000
1495.510126786528,1018
2198.046579450437,1019
2447.3774479312074,1028
1089.2436257404713,1034
1919.390662344204,1038
1459.0895755718761,1040
1390.7702088836554,1042
5565.792377305909,1057
2236.5725690529675,1058
877.2336104147623,1063
4044.386819208352,1066
4151.923406982725,1071
3921.4140660578405,1073
1856.0313199019965,1074
2696.849399308471,1077
10911.404245484538,1080
776.917689861085,1088
810.8054058848785,1096
10563.507892810814,1097
5399.648015145262,1105
1751.9174850061345,1115
2797.2686425045886,1116
1890.6491681149682,1122
3504.7987417517247,1130
946.6585904468534,1133
2075.170784536923,1137
2260.2635566442586,1140
6792.710852217146,1143
4703.811429262799,1149
1072.1858064470894,1150
863.3084272605358,1153
965.3141855576494,1157
675.4692480205674,1180
931.9787270139691,1183
1781.93955094896,1188
778.9761155175972,1193
763.2620897305637,1200
3793.8369980058646,1209
1675.796831832923,1214
